0	x o ŋ͡m 1
bõ	b ɔ 3
bố	b o 5
bồ	b o 2
bỗ	b o 3
bỏ	b ɔ 4
bơ	b ɤ 1
bổ	b o 4
bọ	b ɔ 6
bớ	b ɤ 5
bờ	b ɤ 2
bỡ	b ɤ 3
bộ	b o 6
bở	b ɤ 4
bợ	b ɤ 6
boa	bw ʷa 1
bóc	b ɔ k͡p 5
bốc	b o k͡p 5
bọc	b ɔ k͡p 6
bộc	b o k͡p 6
bói	b ɔ j 5
bòi	b ɔ j 2
bôi	b o j 1
bối	b o j 5
bồi	b o j 2
bỏi	b ɔ j 4
bơi	b ɤ j 1
bổi	b o j 4
bới	b ɤ j 5
bời	b ɤ j 2
bội	b o j 6
bởi	b ɤ j 4
bom	b ɔ m 1
bòm	b ɔ m 2
bôm	b o m 1
bõm	b ɔ m 3
bồm	b o m 2
bỏm	b ɔ m 4
bơm	b ɤ m 1
bờm	b ɤ m 2
bợm	b ɤ m 6
bon	b ɔ n 1
bón	b ɔ n 5
bòn	b ɔ n 2
bôn	b o n 1
bốn	b o n 5
bồn	b o n 2
bơn	b ɤ n 1
bổn	b o n 4
bọn	b ɔ n 6
bờn	b ɤ n 2
bỡn	b ɤ n 3
bộn	b o n 6
bợn	b ɤ n 6
bong	b ɔ ŋ͡m 1
bóng	b ɔ ŋ͡m 5
bòng	b ɔ ŋ͡m 2
bông	b o ŋ͡m 1
bõng	b ɔ ŋ͡m 3
bống	b o ŋ͡m 5
bồng	b o ŋ͡m 2
bỗng	b o ŋ͡m 3
bỏng	b ɔ ŋ͡m 4
bổng	b o ŋ͡m 4
bọng	b ɔ ŋ͡m 6
bộng	b o ŋ͡m 6
boong	b ɔ ŋ͡m 1
boóng	b ɔ ŋ͡m 5
bóp	b ɔ p 5
bốp	b o p 5
bọp	b ɔ p 6
bớp	b ɤ p 5
bộp	b o p 6
bợp	b ɤ p 6
bót	b ɔ t 5
bốt	b o t 5
bọt	b ɔ t 6
bớt	b ɤ t 5
bột	b o t 6
bợt	b ɤ t 6
bu	b u 1
bú	b u 5
bù	b u 2
bủ	b u 4
bư	b ɯ 1
bụ	b u 6
bứ	b ɯ 5
bự	b ɯ 6
bua	b uə 1
buá	bw ʷa 5
búa	b uə 5
bùa	b uə 2
bủa	b uə 4
bưa	b ɯə 1
bụa	b uə 6
bứa	b ɯə 5
bừa	b ɯə 2
bữa	b ɯə 3
bửa	b ɯə 4
bựa	b ɯə 6
bục	b u k͡p 6
bức	b ɯ k 5
bực	b ɯ k 6
búi	b u j 5
bùi	b u j 2
bụi	b u j 6
bùm	b u m 2
bũm	b u m 3
bủm	b u m 4
bụm	b u m 6
bun	b u n 1
bún	b u n 5
bùn	b u n 2
bủn	b u n 4
bung	b u ŋ͡m 1
búng	b u ŋ͡m 5
bùng	b u ŋ͡m 2
bủng	b u ŋ͡m 4
bưng	b ɯ ŋ 1
bụng	b u ŋ͡m 6
bứng	b ɯ ŋ 5
bừng	b ɯ ŋ 2
bửng	b ɯ ŋ 4
buộc	b uə k 6
bước	b ɯə k 5
buồi	b uə j 2
buổi	b uə j 4
bươi	b ɯə j 1
bưởi	b ɯə j 4
buồm	b uə m 2
bươm	b ɯə m 1
bướm	b ɯə m 5
buôn	b uə n 1
buồn	b uə n 2
bươn	b ɯə n 1
buông	b uə ŋ 1
buồng	b uə ŋ 2
bương	b ɯə ŋ 1
bướng	b ɯə ŋ 5
bướp	b ɯə p 5
buốt	b uə t 5
buột	b uə t 6
bượt	b ɯə t 6
bươu	b ɯə w 1
bướu	b ɯə w 5
búp	b u p 5
bụp	b u p 6
bút	b u t 5
bụt	b u t 6
bứt	b ɯ t 5
bựt	b ɯ t 6
bưu	b ɯ w 1
bửu	b ɯ w 4
buýt	bw ʷi t 5
c	s i ' 5
ca	k a 1
cá	k a 5
cà	k a 2
cả	k a 4
cạ	k a 6
các	k a k 5
cấc	k ɤ̆ k 5
cắc	k ă k 5
cạc	k a k 6
cặc	k ă k 6
cách	k a tʃ 5
cạch	k a tʃ 6
cai	k a j 1
cái	k a j 5
cài	k a j 2
cãi	k a j 3
